setx,sety,topic,title
-15.984025,-6.718405,0,第26届中国青年五四奖章评选揭晓
11.798718,4.022596,2,花儿与少年
0.26571682,14.131227,14,马某某系某科技公司研发部经理
-6.187623,6.9075856,1,奋斗者正青春
-0.14218313,-6.508573,16,合肥火灾
4.952954,-5.631208,4,林俊杰官宣世界巡回演唱会
-3.463998,-2.5804274,11,庄文杰身份证
-6.1882777,6.908282,1,低成本祛背痘
-5.3777246,-10.299847,13,太笨的人不要切西瓜
1.5562463,-1.1618545,18,网购鲜花靠谱吗
-5.4119577,-10.756836,13,大爷杀猪被猪一脚蹬进开水盆
-3.7962894,-2.7725794,11,宋亚轩时隔6年再唱风雨彩虹铿锵玫瑰
-16.018082,-6.5425997,0,郑州东站病例系外省确诊病例中转时传播
1.0708551,3.3819885,15,北京1感染者3次上公厕引发近40例感染者
-9.566869,12.912629,19,孕妇景区游玩羊水破裂交警鸣笛护送
-9.83133,0.6372638,8,95后小伙每天坚守高铁防疫岗10小时
-9.757074,0.55152816,8,郑州主城区实行足不出区严禁聚集措施
1.0711008,3.3838236,15,广州5月4日提供免费核酸检测服务
0.47984505,14.030808,14,北京高校严格进出校园管理
-6.428492,7.2081485,1,请郑州市民不要扎堆抢购
-15.06324,-6.2624927,0,假期余额已不足
-14.853071,-6.3029604,0,密室大逃脱
1.5189633,-1.3529872,18,夏天开胃拌冷面
-0.15804803,-6.553343,16,和主人对骂的小奶狗
12.456655,-8.183169,6,关晓彤檀健次王牌对王牌初恋舞台视频
1.6051626,-1.5884365,18,丰兰息两天告白了三次
1.6035144,-1.5866909,18,重生之门微博评分9分
3.5948434,-12.5522585,5,女孩放假背书包向父母展示新学拳法
11.997915,-7.620699,6,王牌对王牌
13.281841,14.052607,9,长沙倒塌事故调整搜救方式
5.4311156,7.1539745,17,笑喷了原来是这个意思
3.5938528,-12.552983,5,郑州市新冠肺炎疫情防控第三十一场新闻发布会
-3.1206474,2.262121,12,爆汁零食
-9.716049,0.9505128,8,无锡江阴对周庄镇旅居史人员赋黄码
-3.120807,2.262297,12,灰烬Alex
4.9004574,-5.5590997,4,因为我是警察啊
12.126161,4.079353,2,女生从小到大生气统一姿势
-9.794661,0.86117184,8,核酸检测员六七小时不吃不喝不上厕所
-3.2557447,2.2819033,12,98岁院士说要珍惜借来的时间
12.150427,4.1267943,2,俄方称一些国家正推动世界走向灾难
4.951896,-5.62973,4,被疯狂追问的乐福鞋
12.354414,-8.157266,6,郑州发布2022年73号通告
