setx,sety,topic,title
-5.1502953,8.233235,14,永远铭记烈士的牺牲和奉献
-5.382034,7.855354,14,疫情后一起去看演唱会吧
-11.088817,-2.221075,18,上海是我们金银潭的一部分
5.954658,2.0283024,1,谢谢各地大白
-7.086892,2.263247,2,年近三十母胎单身的心声
-1.0744535,14.689534,13,南京摘星
-10.943959,-1.315677,18,且试天下
-10.934173,5.467032,5,清明假期国内游7541.9万人次
15.040108,-14.308238,7,美国单日新增确诊近135万例
-5.3156176,8.21808,14,女子疫情抢购千元食物被大妈顺走
7.2170515,5.747566,17,官方回应居民私自外出被志愿者剃头
-4.091234,-1.9921253,15,金宵大厦2
-3.5541723,3.2236006,4,扬州姑娘上海一游的手机找到了
-1.0638365,14.964566,13,疫情期间业主群有多好笑
-4.2272816,-7.9644203,16,宋祖儿大结局车祸现场秒变求婚现场
7.890044,12.491738,0,有这早饭谁还睡懒觉啊
-11.383088,-2.2290578,18,上海浦锦街道办事处向医护人员致歉
-11.112238,-2.219679,18,失恋可能就是你要走运了
-4.2293077,-7.9683075,16,鞠婧祎仙剑奇侠传4嘟嘴动图好可爱
8.570649,12.616188,0,杨洋离不开荣耀二字了
-10.349336,13.615814,11,陈若琳带全红婵冲奥运会
2.01842,-8.836949,19,温州一家三口不幸溺水身亡
-10.937314,5.4677157,5,肖战登泰国社交平台年度人气榜第一
-4.087376,-1.9924384,15,任嘉伦演技
7.907279,12.230791,0,清明节
8.24528,12.301515,0,恰似故人归
2.017706,-8.82916,19,拿捏所有懒人的减肥操
0.44361684,2.1238127,10,特战荣耀
-11.501218,-13.459579,6,四川375万毫升热血驰援吉林上海
13.013925,0.19925164,8,47岁民警清明当天牺牲在抗疫一线
1.7042491,8.048531,9,原来男生也可以被求婚
-11.003837,-13.02945,6,社内相亲
-3.5529702,3.2232716,4,甄嬛传演员嘴里都含着冰块
-3.5534937,3.2233973,4,四川医疗队称任务艰巨但我们不虚
8.58356,12.873302,0,马斯克登顶2022全球亿万富豪榜
7.6646075,-5.050199,12,男子为尝鲜荒院内种250株罂粟苗
-4.264066,-2.1663127,15,上海女子晒老公被封前后对比照
8.23785,13.081023,0,民警多问一句话拯救了一个家
8.486409,13.030244,0,上海一老人家中烧锡箔纸不慎起火烧家
-10.724797,-1.4572648,18,待疫情过后
1.4486812,8.307164,9,泽连斯基称与普京会面很可能不会进行
1.5042735,-2.80536,3,西安核酸
7.2134495,5.736653,17,长意把灵力鲛珠都大方渡给纪云禾
7.2081237,5.7239747,17,辽宁男篮8进4对阵山西男篮
-11.493141,-13.1855,6,辞职开心到流泪是什么体验
