setx,sety,topic,title
-3.2982044,2.5566168,0,最闪亮的坐标
-8.326576,0.7213116,8,妈妈倒吊进10米枯井拼死救娃
-2.9598136,6.4563174,13,在KTV隔离是什么体验
0.106210835,4.210145,4,为烈士寻亲
-7.8401136,6.41751,5,上海一男子买不到菜在家水培白菜
4.0183864,4.268831,14,lel
-4.7249846,11.725586,19,上海地铁
-3.298201,2.5566318,0,小米浏览器
10.137485,-29.715511,15,他的照片不用再打马赛克
-6.498861,14.491819,19,上海小伙薅光奶奶菜地送抗疫酒店
0.77961457,-5.4472666,10,把我养胖又带我减肥的男朋友
-13.40118,-3.244072,9,光明牛奶
-3.2980747,2.5570838,0,BIGBANG新歌
0.98361915,8.621394,6,姜泰武热吻申夏莉
-13.491192,-4.016843,9,立陶宛将与俄罗斯外交关系降级
-4.9270854,-9.785464,7,顾清俞展翔和平分手了
9.832459,-29.5228,15,权志龙声音
9.036441,-6.986655,2,一年飞行167次只为采集种子
0.50989467,0.42379636,11,恰似故人归
0.7903314,-5.544433,10,世卫组织称中医药能有效治疗新冠
-5.7798514,14.725528,19,上海4日核酸采样工作顺利完成
-3.2982385,2.5567434,0,张柏芝看了都要愣两秒
-4.7821426,12.044471,19,社内相亲
-6.497941,14.488504,19,直击上海全市核酸检测现场
8.959236,9.674882,12,上海发布
-5.4088206,12.884894,19,社内相亲预告
2.7617018,13.614843,17,甄嬛传庆功宴旧照
4.0183864,4.268831,14,顾村
9.547142,10.426143,12,初恋就是用来被路过的吗
0.113633566,4.221536,4,学霸情侣相恋四年双双保研上海交大
5.140292,-0.7380565,3,现在怎么就待不住了
9.912869,-30.100876,15,张艺兴为金俊勉新歌打call
-14.228408,-3.544115,9,迪丽热巴说长意先爱上纪云禾
-14.067767,7.6129827,18,IVE新歌LOVEDIVE预告视频
-4.950339,-9.342724,7,顾昕入狱
8.973376,-7.287491,2,光明乳业2名抗原异常员工已隔离
4.2438426,4.5268593,14,带鱼为什么养不活
9.6135025,-29.885302,15,谁不想要这样的毕业典礼呢
-13.765985,-3.2595723,9,你真的想努力减脂吗
-3.9061139,-2.4244654,16,雅尼斯辞职
1.0677955,8.667446,6,银魂开播16周年
9.769653,10.556397,12,彭于晏方称做志愿者是个美丽的误会
-7.8392763,6.4170203,5,肖战朗诵惠崇春江晚景
8.66345,-7.334543,2,睡眠不足5小时更容易引发癌症
4.1924005,4.492621,14,广州南沙 防疫
-3.942645,-2.4813364,16,为了对抗懒惰有多努力
5.246425,-1.1050736,3,烤箱也能拍出电影院的感觉
-5.74547,13.694763,19,春天会降临很多浪漫
-13.761536,-4.1368737,9,废旧手机闲置量逐年增长
-6.3909373,15.296313,19,来自兄弟省市的温暖和深情上海不会忘记
-4.9520235,-9.342201,7,乐山3.0级地震
-8.318475,0.7276056,8,李玉刚和河南卫视把国风玩明白了
4.428957,4.400153,14,华为支付已上线
-8.318545,0.72759384,8,15岁至45岁花粉过敏高发
5.3599834,-1.0495491,3,花生油复用3次致癌物升高超10倍
9.548273,10.427823,12,第一次见这种画画方法
-4.741797,11.989148,19,上海核酸
4.2278547,4.405159,14,长意吻纪云禾说那就试试
-5.739854,13.701105,19,许佳琪出演少女李清照
10.556944,2.4461906,1,被仙剑三花絮整破防了
0.7263608,-5.195903,10,韩国到底有多小
1.2661164,8.621911,6,纪云禾没有一刻是属于自己的
-4.6039624,11.078813,19,巴基斯坦
10.067935,-30.429495,15,原来美食大片是这样拍出来的
10.422437,2.4475298,1,跟着甄嬛过六级
-6.5034823,14.492587,19,15省38000多名医务人员驰援上海
9.547894,10.427251,12,郑秀妍确认参加浪姐3
-3.9416375,-2.4806755,16,北京男篮向球迷道歉
-13.763824,-4.137345,9,19岁的他在狱中给父母写下绝笔信
-4.8970017,-9.645881,7,铁皮宝藏彩妆
-3.9149196,-2.4377112,16,央视清明云诗会
-5.703598,13.5511675,19,山西医疗队支援上海
10.113402,10.357804,12,俄乌冲突将长期利好美国军火商
0.5698578,8.223243,6,四川100吨有机蔬菜起运驰援上海
10.390691,-31.058916,15,女子12年怀孕14次流产13次终圆梦
4.0183864,4.268831,14,炸带鱼
0.52869815,0.013219597,11,海清发文告别冯晓琴
9.483956,-30.561728,15,广西一路边垃圾桶内发现男婴
8.658751,-7.33288,2,吉林主队解说赛后哽咽
9.848431,-30.975716,15,北京疾控流调电话开通电子标签
-8.306797,0.7299557,8,河南卫视神仙节目上新了
5.1548276,-1.091327,3,古装史密斯夫妇
0.7795886,-5.4470983,10,马兰头青团到底是啥味
5.4240665,-0.99290794,3,童声合唱那些花儿缅怀英烈
-6.5039396,14.493863,19,四川医疗队北上吉林东赴上海
0.48059124,-0.027495496,11,清明客演绎回归故土追思情
10.563283,2.4457355,1,北约秘书长称愿意接受芬兰和瑞典加入
0.7111686,-5.0763454,10,林书豪
4.979364,-0.81235164,3,鲜花献英烈
8.455706,-6.731708,2,森林草原防火季
