setx,sety,topic,title
3.5950394,-6.359976,18,全面排查整治各行业领域安全隐患
8.868318,0.568175,4,浦东超市
9.306954,0.65547156,4,已有28家航司全部转场至天府机场
-9.799618,-4.95466,6,MU5735事故现场全场鸣笛致哀
7.963558,-3.9814117,0,上海全市开展新一轮核酸筛查
-2.8910768,2.8144262,11,央视曝光万门大学创始人圈钱手段繁多
9.249205,7.810253,13,MU5735遇难者集体哀悼活动
-4.6588154,-2.9033651,2,周口小伙跳河救人体力不支时留遗言
1.4140446,-12.282066,5,22岁男子高速上轮滑欲回6000里外老家
1.2818167,2.5797036,15,东方航空已启动赔付工作
1.6856607,7.00999,12,露营为什么突然火了
3.2737937,-1.2493231,7,支援上海
-0.13886318,-3.6296115,14,特朗普称拜登扼杀了美国梦
-1.0808806,-0.49724308,8,女子将多肉种出最高境界
3.8854306,-1.7423369,7,上海坠楼老人妻子辟谣
-4.696302,7.301433,19,华为暂无计划在海外推出鸿蒙手机
-7.8388863,1.3281537,10,第二部黑匣子是飞行数据记录器
-1.0635726,14.542826,9,第二个黑匣子能记录25小时左右
1.2514313,2.6265962,15,为什么有健康码还要扫场所码
-9.762727,-5.092169,6,沈阳全域纳入防范区及以上管理
1.3483658,2.846005,15,3月30日前淮南全体市民不离淮
3.9905663,-1.2696426,7,乐事薯片吃出一撮毛发赔付1000元
-2.887765,2.8118732,11,村民一次直播向英国卖出上千美元产品
3.052472,-1.4623724,7,DK
-4.497231,-8.364976,3,网购到变质火腿肠求处理被客服攻击学历
-1.8568183,14.499881,9,民警抓住毒贩后才发现手指已骨折
3.4782002,-1.1228445,7,双人成行一周年
3.304829,-1.7032725,7,乐事薯片
-4.6551867,-2.9023068,2,奶奶躺花瓣中爷爷一旁开心撒花
3.5988755,-6.3702617,18,心理救援专家说没有忘记就是永远在一起
-2.8817413,2.804646,11,中美双方监管机构正相向而行
-1.0587229,14.172399,9,广州黄埔一村民分到21套房
1.7793992,7.3751626,12,无人机为搜救人员空中喷洒消毒
1.7054918,7.368279,12,男子当街暴打路边乞丐
7.955679,-3.9789956,0,医生隔栅栏给被封女子双眼皮拆线
5.233423,3.0084412,1,福建平潭绝美蓝眼泪
9.705877,7.5784206,13,俄方称制裁不会给俄带来致命困难
3.5921326,-6.355238,18,乐事回应吃出一撮毛赔付1000元
5.239945,3.0183349,1,电动车锂电池起火怎么办
-4.6551294,-2.9022896,2,拜登反悔不首先使用核武器承诺
9.41602,8.312701,13,60岁环卫大爷免费教武术学生近千人
-7.650662,1.8860424,10,第二部黑匣子已安全抵京
-4.222841,-8.472818,3,连云港800年玉兰花王绽放美如雪
9.771353,7.8512774,13,已接送遇难者家属632人次到现场吊唁
7.955755,-3.9789953,0,南京求投喂野猪被扎10针麻醉剂才晕倒
3.5921419,-6.3552527,18,玉渊潭公园还有十余棵绿色樱花
1.4653776,2.701564,15,烤鸭原来有这么多讲究
-0.136263,-3.621627,14,长春宽城 防疫
-4.437011,-2.8417654,2,TEC夺冠
-1.0874223,-0.49528176,8,45岁求职女子因年龄被拒办假证被行拘
3.500574,-6.2119417,18,华山桃花有多美
1.6434548,-12.141526,5,14岁男孩凌晨外出跑步失联7天
1.7794228,7.3751664,12,南京溧水十万斤草莓因疫情滞销
9.284803,0.65582603,4,长沙16例确诊病例为奥密克戎变异株
3.3048286,-1.7032717,7,乐事薯片
3.280294,-1.2423707,7,GEN翻盘
3.95399,-1.2475076,7,深圳恢复正常生产生活秩序
-1.0153056,14.3196335,9,MU5735航班上人员已全部遇难
-8.303468,1.4289317,10,已对救援人员进行心理干预
-8.304459,1.429279,10,走失35年女子找到亲生父母
-1.0201914,14.283193,9,第二个黑匣子数据存储单元外观较完好
7.970743,-3.9835124,0,玻璃爆裂砸伤仨女孩的哥闯红灯送医
4.0125012,-1.5711366,7,北京玉渊潭樱花初绽迎观赏高峰
8.947131,-9.5241375,16,海口一男子持榔头打砸抢劫金店
-8.447793,1.8755144,10,高校男生独自坐在宿舍阳台努力学习
-8.445736,1.875542,10,搜救人员向遇难飞机方向默哀3分钟
9.711889,8.016924,13,82岁老人巡边58年里程可绕赤道5圈
3.8870456,-1.74148,7,上海全市抗原检测超1400万人
-1.7261156,14.67649,9,民辅警火场接力公主抱转移90岁老人
9.089097,7.1877446,13,EDG战胜FPX
-0.9775741,-0.5311461,8,canyon
8.739729,0.5417667,4,geng
3.5048811,-1.7970771,7,GEN对战DK
8.702512,7.505778,13,EDG对战FPX
-4.2578807,-8.499082,3,苏州改造建设两所方舱医院
7.7781773,-3.9227293,0,Meiko700场
1.2149147,-12.181474,5,14岁男孩凌晨外出跑步失联7天
-4.6509833,-2.902943,2,安徽凤台报告14例无症状
3.6529982,-1.0982453,7,公安机关共确认120人身份
1.6857166,7.0107336,12,祈愿逝者安息
-8.313308,1.4382445,10,俄手机公司测试鸿蒙系统
-7.7113395,1.3673382,10,第二部黑匣子画面
-2.8220909,2.7431047,11,长沙一中学老师核酸阳性
-8.051724,2.0935152,10,失事飞机第二部黑匣子已找到
1.4150325,-12.28302,5,卢甘斯克称可能近期举行加入俄联邦公投
1.3959718,-11.528042,5,光遇动画化
3.625074,-1.097051,7,大学生校内挖荠菜包饺子
-0.13173172,-3.6081824,14,点一盏心灯
1.7792062,7.3751163,12,男子狂吃甘蔗砂糖橘致精神错乱
1.6415472,-12.142136,5,格力回应未给员工足额缴纳公积金
-4.497157,-8.363095,3,广东回南天老人给儿子家台阶铺满毛巾
-4.4763203,-8.285122,3,长沙市已启动方舱医院建设
-4.294995,-8.518855,3,汽车坠河夫妻俩被困小伙跳河救人
-4.54141,7.0845776,19,网易云黑白
