setx,sety,topic,title
2.1051612,-12.9964485,13,抓细抓实各项防疫工作
4.283622,4.3152413,10,上海 我要买咖啡啊
17.26861,8.211047,14,冯晓琴老公意外身亡
-6.5268836,6.9126105,9,疫情下的中国温度
9.175306,-7.918566,4,樊振东王楚钦WTT男双冠军
1.889448,-12.638444,13,中美元首视频通话
0.31229505,0.5308236,5,被异地恋女友的惊喜整破防了
0.531311,-5.101695,16,玉骨遥预告播放量3亿
2.122606,-12.3870945,13,WTT新加坡大满贯
5.7708206,-2.0048914,18,超级小桀
10.072428,4.5158935,3,王曼昱4比3孙颖莎
-13.3737755,-17.556515,11,Lisa酒类广告涉嫌违反泰国法律
0.53807116,-4.698474,16,顾魏打错字
-1.2722842,11.313304,0,华晨宇说终于和郭曲江湖相见
-8.889335,14.895958,1,WTT男双决赛
9.784283,4.112029,3,孙颖莎vs王曼昱
-0.75246817,5.6204557,12,常州疫情
-1.271861,11.313453,0,章子怡说宋亚轩扮梁先生有点那个味道
0.43353316,-4.773748,16,妈妈首先也是独立的人
-6.649757,6.9739003,9,这些口红一上嘴我就沉默了
-9.285429,15.102278,1,中方向乌克兰提供食品美方提供致命性武器
4.0104475,4.0101323,10,蝙蝠侠
-12.741916,-16.896845,11,疫情开始那年你在干什么
-1.0491432,5.7773457,12,童瑶心居一不小心送弟弟领盒饭了
9.175723,-7.918291,4,樊振东王楚钦对阵日本组合
-11.7506075,1.7586566,19,海清没有一滴眼泪的哭戏
5.8021646,-2.7147055,18,未来人考古网红墓有多离谱
-13.246386,-16.611423,11,武汉给全国网友的浪漫
0.29113367,0.4767419,5,赵立坚说乌克兰平民更需要食品和睡袋
4.593265,4.072021,10,父母支持的追星有多幸福
-4.6349216,1.2379797,7,和平安全才是国际社会最应珍惜的财富
10.254073,4.6938515,3,心疼赵今麦演的林湘之
2.3867283,-12.691653,13,SHE的综艺感有多强
-11.750718,1.758645,19,XG女团正式出道
-8.881153,14.354024,1,狗狗糯米
8.159457,13.363962,8,与君初相识
4.0104475,4.0101323,10,郭艾伦
0.33663604,0.6931906,5,这是我见过最有耐心的骗子
-11.493751,1.7901306,19,想去丹麦捡瓶子了
2.0563734,3.0449057,0,绫人
-6.658732,6.977962,9,泽连斯基已准备好就所有问题与普京会谈
-4.5748887,1.2641555,7,刘宇宁直播
13.949123,-1.5775467,2,新疆出现神秘绝美的蓝色湖面
0.53286487,-5.1005535,16,林彦俊新歌语音预告
-9.009782,15.017011,1,陈梦王曼昱会师决赛
-11.739302,1.7606609,19,被手机里的黄昏治愈了
-9.045449,14.332948,1,汕头南澳 防疫
10.4953985,4.42533,3,看孙颖莎王曼昱比赛好紧张
-6.6545353,6.9758873,9,山东一中学老师上网课辱骂学生
-0.8812054,5.803665,12,见过最乱的电脑桌面
-9.397575,15.075426,1,常州集中开展区域全员核酸检测
8.69005,13.939651,8,坚持科学精准动态清零
2.3867283,-12.691653,13,关晓彤又要跟腾哥淋雨了
1.4574854,18.048258,15,深圳人有多爱吃猪脚饭
13.4490385,-1.499791,2,河南省考延期
10.390885,4.385545,3,国货方便面有多绝
8.164616,13.358892,8,春天花会开
8.802562,13.5714245,8,与君初相识首播破纪录
0.55970067,-5.076459,16,黄景瑜在王牌对王牌搅和得很开心
0.5296288,-5.1028876,16,老师为鼓励学生坐前排有多拼
10.376226,4.781218,3,看孙颖莎王曼昱比赛好紧张
0.32377526,0.5593635,5,泰系千金学姐妆
6.2100687,-2.2614202,18,姐姐出嫁时弟弟能有多难过
-13.259924,-16.605085,11,徐彰彬确诊感染新冠
-0.8557519,5.5310974,12,北京下雪
-9.499458,14.522822,1,陈梦王曼昱会师决赛
0.30203396,-5.0584908,16,西安本次疫情社会面清零
-11.770268,1.7572254,19,塞尔维亚球迷高举横幅讽刺美国
-7.062182,-5.112867,6,肖战说感谢余生一起走过
-0.855751,5.5310984,12,北京下雪
13.519765,-1.620086,2,陈梦vs王艺迪
10.254073,4.6938515,3,平替蛋糕便宜麻了
-7.0649457,-5.2230463,6,男子花150元嫖娼对方竟是男扮女装
0.41828585,0.8301445,5,原神
-9.562578,14.79346,1,陈梦晋级WTT女单决赛
-12.713478,-16.647097,11,车银优确诊新冠
-12.727267,-16.913282,11,网红柠檬鸡爪又卷起来了
17.385174,8.500676,14,蒲熠星未来中国科普海底灾难
16.9945,8.573543,14,邓超人民日报撰文
-13.680056,-17.04217,11,事实证明动态清零符合中国国情
1.8933883,-12.818017,13,高质量人类的家有多绝
-0.6490564,5.4543295,12,长相思
-8.8821945,14.350766,1,WBG iG
-6.705763,-4.934798,6,春天必吃美食
5.792846,-2.7110174,18,疫情结束后一起去看海吧
8.192011,13.811663,8,这笑容配得毫无违和感
-1.2719992,11.313177,0,瑞典一警察因拿普京照片当屏保被调查
5.7721896,-2.005517,18,超级小桀
2.3867831,-12.692363,13,理想汽车的新颜色
1.4570346,18.04844,15,任嘉伦问现在再下一个海底反诈APP还来得及吗
-6.649754,6.9738917,9,梁冠华说张艺兴爱思考有礼貌
-11.7393465,1.7606559,19,欧冠八强抽签
5.93679,-2.7658017,18,纪云禾说长意你这条鱼长得真好看
6.2069283,-2.257405,18,纪云禾长意双向奔赴
-6.7732005,-5.2998285,6,这才是酸菜的正确打开方式
17.389668,8.491565,14,你们明星多少有点健忘在身上
-9.323743,14.378455,1,切尔西对阵皇马
-6.7095304,-5.2389593,6,张翰张松龄终于来了
-13.597862,-17.28714,11,福建省新增本土确诊病例141例
6.2516074,-2.5415719,18,全球本轮疫情近期不会结束
9.17603,-7.91849,4,10岁男孩玩蜗牛患上脑膜脑炎
8.192011,13.811663,8,结局离大谱的影视剧
17.266842,8.210108,14,原来被爱真的不用太漂亮
-11.7393465,1.7606556,19,假如刀工有段位
1.8936527,-12.818745,13,这样的八年要一辈子来忘怀吧
0.41828576,0.83014464,5,原神
4.4837914,3.9596767,10,3个动作矫正头前伸
-0.88120574,5.8036647,12,郁金香是合照杀手吧
4.5883856,4.062605,10,余生剧组暖心时刻
5.9367905,-2.7658017,18,纪云禾说长意你这条鱼长得真好看
0.30438444,0.50831133,5,徐正溪为周洁琼定制公主套餐
3.742632,9.123013,17,代购火锅遭菜品缺失及翻倍加价
-1.2719876,11.312621,0,全国多地发布建筑业清退令
-0.7519508,5.6270375,12,故宫 下雪
0.5278373,-5.1041284,16,如何让男朋友理解来大姨妈
5.512141,-2.295916,18,偷偷广播剧破亿
-1.2457739,11.243104,0,华灯初上 凶手
3.7425287,9.123012,17,广东高中体育不合格者不能毕业
1.1113067,-4.236709,16,等疫情结束我们见一面吧
3.7416105,9.121146,17,北京的雪景又美出新高度
-12.70846,-16.6498,11,实拍美国边境墙
2.0923526,-13.018072,13,女生途经校内鸽舍被群鸽追随
9.17553,-7.9185348,4,什么年纪干什么事有道理吗
-11.750718,1.7586449,19,穿露腿裤坐地铁引发的社死
2.3867831,-12.692364,13,减肥也能吃的麦乐鸡块
-6.872825,-5.336839,6,美国一议员因没给泽连斯基鼓掌遭抨击
-0.94701296,5.8256097,12,这就是单身人士的心声吧
-0.8557515,5.531098,12,天津下雪
