setx,sety,topic,title
18.346684,10.63695,7,永远可以相信中国人的团结一心
-4.78745,3.7658262,0,日本地震
6.3674436,8.930719,9,李佳航发文谈男足
-1.9129074,-15.764371,19,不同的城市相同的守护者
-16.758406,-0.09613893,14,工行2.5亿存款不翼而飞
11.598702,1.6041532,13,华师大
12.669131,1.7321473,13,深圳信息职业技术学院
12.451783,1.4927628,13,猎罪图鉴真的有第二季
-1.9741184,-15.903976,19,拜登又口误称第一夫人的丈夫感染新冠
-10.011989,6.7735868,11,董路回击冯巩
-4.844995,3.8070204,0,日本本州7.4级地震
-3.318971,12.572153,3,余生请多指教收视率
18.1897,11.315779,7,张艺谋给刘浩存未来发展的建议
-17.005892,0.060281016,14,普京发表讲话称没有占领乌克兰的计划
6.331138,-3.6362913,18,分手后一定要删除对方吗
-10.098497,6.8373194,11,95号汽油将进入9元时代
-16.346209,0.07365946,14,林峯全网找狗
12.063585,-7.048503,12,杭州的加油站爆满
4.4300694,2.392316,10,中国男足
6.3600974,-3.6467142,18,爸爸建议女儿住隔离酒店朝公路的房间
-2.69387,-1.0432383,5,你从哪首歌开始听周杰伦的
0.33962372,7.448551,8,马嘉祺河南省表演专业统考第一
5.2609925,-11.153527,15,中国男足需要什么样的舆论环境
-4.453556,-5.8224726,1,王楚钦孙颖莎新加坡大满贯混双夺冠
12.065731,1.4330453,13,猎罪图鉴
4.824725,2.6124394,10,华为P50有九种颜色
12.083812,2.1831133,13,猎罪图鉴大结局
0.6821927,-6.7081842,2,我还能有机会亲眼去看看这样的世界吗
18.080627,10.561852,7,南京新增28例阳性
-0.32033566,3.1753647,17,莎莎和楚钦都开心的笑了
0.6821574,-6.707457,2,如何看待华为墨水平板
-16.78189,0.24751338,14,长歌行歌隼欠的吻戏在与君初相识补回来
4.825638,2.6129227,10,檀健次不愧是初代男团
-9.564106,6.672966,11,冯巩
4.552555,2.4543371,10,今麦郎声明
-4.39708,-5.7630305,1,Ming的嬴政
-10.052161,-10.516839,16,插旗菜业董事长致歉
12.194011,-7.244885,12,华为发布首款鸿蒙智能门锁
11.84352,1.5391601,13,河北省考延期
11.72811,-6.966619,12,中山大学
-2.4216008,-1.0555483,5,黑金风暴
12.620046,2.087367,13,深圳房东送72户被封租客每人200元
5.259996,-11.151491,15,世界上有五种东西文学
0.34092504,7.450358,8,导演说任嘉伦与君初相识表演有突破
-0.3116918,3.1403356,17,暂停减肥
-4.8472433,3.8086445,0,日本接连发生2次强烈地震
0.34046528,7.455805,8,与君初相识导演说迪丽热巴非常专业
18.415838,11.1990185,7,南京栖霞区通报5名初筛阳性人员
-8.2921095,-0.9265109,4,他是真的想有个妹妹
5.2610207,-11.153506,15,女医生跪地做心肺复苏连救3人
11.826972,-7.0263166,12,加油站排队
-9.870369,7.12939,11,沿着必由之路夺取新的更大胜利
-16.757664,-0.09618853,14,工行2.5亿存款不翼而飞
-3.4744024,12.298614,3,余生请多指教
-10.48841,-10.11118,16,孙颖莎一日三赛全胜
-2.6939597,-1.0432861,5,WTT新加坡大满贯
-3.4526227,13.000499,3,小姐姐一路小碎步敲车窗帮消防车开路
-7.956093,-1.1399726,4,维他奶
-9.961593,-10.029341,16,西安WE
-2.1626487,-15.579014,19,锅盔夹凉粉有多好吃
12.246929,-7.2072,12,干部被双开前试图用巫蛊之术诅咒办案人员
0.678813,-6.6333857,2,被减脂零食拿捏了
-2.6932266,-1.0458695,5,张艺兴相逢时节
-16.757664,-0.09618828,14,人比冰岛多的天通苑有多魔幻
4.549707,2.4547882,10,华为发布会
1.7418724,-1.3471106,6,复旦大学复试线
1.7399662,-1.3545198,6,见过最暧昧的打架
-10.171271,7.112975,11,英国要求俄选手谴责普京才能参加温网
4.806856,2.5281875,10,华为全屋智能
-10.488654,-10.582098,16,五个必由之路揭示中国成功密码
-8.847389,-1.5444243,4,疫情当前更要坚持坚定
12.25371,1.4484164,13,猎罪图鉴大结局
11.842822,1.5399469,13,许昕2比3弗朗西斯卡
1.7767526,-1.3769119,6,求问武艺现在的心理阴影面积
-3.3036964,12.700362,3,王源是有点怪力在身上的
-2.2551067,-15.81186,19,广东茂名海域蓝眼泪奇观
-9.987296,-10.412899,16,这就是住在人间仙境的感觉
11.763165,1.8948548,13,上海加油
6.2882056,-3.6317239,18,社内相亲
-10.012938,6.77408,11,TES战胜AL
6.3282623,-3.6368206,18,崔然竣跳WADADA
6.147919,-3.5699756,18,交管12123崩了
5.1893716,-11.005619,15,戴眼镜的和不戴的都沉默了
-8.774903,-1.5627197,4,疫情期间戴口罩的狗狗
-8.591841,-0.83422184,4,乌江榨菜
-8.294125,-0.9250861,4,WE状态好猛
-2.2585723,-15.6978245,19,现代吵架行为大赏
6.31599,-3.6326888,18,周深头发手机壳
1.7756915,-1.3744856,6,肖战演的顾魏让人心疼
-16.78189,0.24751346,14,长歌行歌隼欠的吻戏在与君初相识补回来
11.763361,1.9048742,13,许昕加油
-8.476586,-1.5807925,4,乌江榨菜
-3.4745913,12.298887,3,月球陨落
12.451162,1.4923539,13,邓伦被从多部作品中除名
-4.4488273,-5.816863,1,谷爱凌晒与成龙合照
5.2610273,-11.153561,15,中超球员说巩汉林小品没冲出亚洲
12.255828,1.4488019,13,许昕vs弗朗西斯卡
-8.920476,-1.511266,4,乌江榨菜称检测结果符合国家标准
12.400487,2.2169538,13,人世间剧组声援吉林抗疫
12.619811,2.0794451,13,顾魏片场沉浸式学习花絮视频
-9.015678,-1.1685239,4,因未开绿色通道吉林女童就医时死亡
4.814058,2.5115685,10,谁能拒绝酸菜炖粉条呢
-2.468724,-0.89453864,5,油价上调
-3.3148158,12.828377,3,美方若一意孤行中方将强力反制
6.372639,8.93745,9,闲置塑料瓶变身昂贵花器
-4.448451,-5.8169656,1,当你有一个会做饭的老公
-4.3578157,-5.717673,1,乐爱豆
-2.2571292,-15.809021,19,网传15岁生子当事人发声
-4.4505205,-5.819321,1,金子涵唱永不失联的爱
-2.0877244,-15.954386,19,警方辟谣宝鸡两名14岁感染者开房
6.3684163,8.931767,9,当狗狗戴上了牙套
0.6848475,-6.7718368,2,今年内不具备扩大房地产税改革试点城市的条件
-10.494378,-10.117511,16,李冰冰方否认录制浪姐3
-0.18718193,3.9173026,17,导演说与君初相识什么接吻方式都有
6.3662133,8.929182,9,王源灿烂灿烂杀青
-8.259081,-1.4878933,4,理想汽车
-2.420062,-1.0444708,5,双汇致歉
-2.1449487,-15.948567,19,匈牙利总理说在大国眼中我们只是棋子
-16.885483,-0.07937973,14,辅警纵身跳河救下轻生女子
5.2600136,-11.151416,15,微博上线五款新表情
-16.649721,0.18686262,14,井柏然给杨丞琳告李荣浩的状
12.153091,-7.0579553,12,2022清明节放假安排
17.817764,11.173371,7,上海新增本土无症状19例
-16.885822,0.2314842,14,美媒一24岁女记者在乌克兰身亡
-8.275075,-0.9413702,4,南昌疫情
18.079193,10.56198,7,北京新增中风险地区
1.7496538,-1.3536644,6,复旦大学复试线
4.4300694,2.392316,10,中国男足
6.144184,-3.5793612,18,交管12123崩了
-3.72842,12.463961,3,于途别吃老坛酸菜面了
0.34051913,7.4560757,8,河南首批600人份新冠自测盒到货
-3.3037212,12.700199,3,肖战说杨紫太牛太有意思了
-9.862575,-9.928435,16,邬惊雷
-10.493344,-10.123223,16,中本悠太翻跳崔然竣PS5
18.454,11.185222,7,赵立坚说美方个别官员撒谎不打草稿
-1.9291166,-15.646881,19,徐正溪戏中戏好抓马
-9.960318,-10.030619,16,武汉暴雨
17.912922,11.257949,7,北京东城区新增3例阳性感染者
-10.512451,-10.558816,16,魏大勋捐48万元物资驰援家乡吉林
-9.787112,7.06438,11,压力给到四川的朋友了
6.3648386,-3.6469042,18,家属回应女童就医时未开绿色通道去世
17.744757,10.840434,7,宋亚轩大头照好可爱
4.7582974,2.6213276,10,大侦探7最新排播
12.053448,-7.247401,12,樊振东王楚钦3比1邱党杜达
0.6514068,-6.3097615,2,基金
5.2640495,-11.154128,15,无人机航拍上海大学生的隔离宿舍
-0.30548242,3.144698,17,暂停减肥
4.550545,2.4531126,10,S30冠军版
1.7778789,-1.377853,6,以大欺小的帽子请美方自己戴正了再说
-3.4377835,12.150338,3,原神
12.2301445,2.2167885,13,武汉软件工程职业学院
1.7396933,-1.3547392,6,方博解说
-2.4240103,-1.0725566,5,WTT 刘诗雯
-3.6946754,13.019581,3,黄子韬向青岛吉林各捐款100万支持抗疫
-3.8537743,12.690905,3,大张伟说有很多人托我要王一博的签名
0.33705047,7.4260697,8,与君初相识太会整活了
-16.87065,-0.08509983,14,那个不用戴口罩的青岛就快回来了
-3.8103943,12.58207,3,国产爱情片不会谈恋爱了
6.371211,8.935379,9,谁能拒绝一个怨种朋友
-9.984714,-10.406485,16,起底插旗菜业
-8.779079,-0.9150372,4,南昌新建疫情
-1.9781334,-15.906649,19,中国交出一份精彩的奥林匹克答卷
6.372615,8.937419,9,科技冬奥照见创新中国
-2.469924,-0.89242685,5,孙颖莎3比0刘诗雯
-9.870678,7.1295443,11,吴昕说用心被对待很难得
-8.779079,-0.91503686,4,南昌新建疫情
-3.3415244,11.868239,3,315 老坛酸菜
-0.3291774,3.140216,17,双汇封存310kg溯源冻猪寸骨
-0.32042053,3.175363,17,甜酷风的女生能有多帅
0.33715472,7.457864,8,美国污水站新冠病毒密度大幅上涨
4.834917,2.6003642,10,冯潇霆再度回应舆论
17.806395,11.157182,7,衢州市新增30例确诊病例
-4.4507065,-5.820103,1,YG回应BIGBANG回归
0.68070555,-6.67656,2,任子威去流浪狗收容所
-8.19788,-1.4233892,4,衢州疫情
-2.2552288,-15.811447,19,农民继父供3个继女成名校研究生
-4.8462143,3.8080747,0,千万不要随便用氛围灯
0.33506238,7.409332,8,重新定义了性格内向
-9.564106,6.672966,11,冯巩
-2.420062,-1.0444729,5,双汇致歉
-8.275074,-0.94137204,4,南昌疫情
-2.178606,-15.585179,19,歪果仁攒了十万个问题
-9.066364,-1.3229362,4,刘鹤主持国务院金融委会议研究当前形势
4.8609505,2.6255918,10,檀健次问沈翊为什么没有女朋友
12.702704,1.9935219,13,香蜜沉沉烬如霜简介删除邓伦名字
4.825343,2.6128528,10,大侦探后期如何处理
0.33963984,7.4484987,8,迪丽热巴给任嘉伦吃酸奶疙瘩
-8.683025,-1.5797191,4,国货火鸡面也太绝了
