setx,sety,topic,title
-6.8764286,2.0131636,6,时代造就青年盛世成就青年
9.983128,16.68361,13,人民日报连麦刘畊宏
3.091438,2.8947394,12,山东蓝翔校长女儿再发声
-6.870844,2.010739,6,966人荣获2022年全国五一劳动奖章
2.4857535,-1.5995703,0,泡泡玛特
7.972519,-11.156223,8,重生之门 刺激
10.420978,16.863823,13,北京朝阳医院发现一初筛阳性人员
-1.362403,4.05861,14,天津市长廖国勋突发疾病去世
15.659702,4.444315,1,庄文杰被电击抽氧
7.363546,-0.18536672,16,美国今年一季度GDP下降1.4%
8.396808,-11.421299,8,热播剧男主开始卷智商了
2.372549,-1.4633728,0,央八
7.8032465,5.239778,18,山东男子1.1亿存银行竟全消失
-16.14294,11.535536,3,有一个喜欢的人有多重要
-6.686158,1.936415,6,天盛长歌
7.76852,5.2075224,18,男子花数十万元摆花海求婚
2.8433204,8.664713,7,你最喜欢的动画是哪一部
0.9363552,0.09431102,0,凰权
-7.330002,-10.443923,4,北京健康宝遭受境外网络攻击
10.433192,16.881456,13,人民日报限定款阳光宅男版健身操
7.705943,-11.051134,8,清融
-1.3138373,3.980869,14,风起陇西
7.7059426,-11.051135,8,重生之门
7.321943,-0.18052955,16,eStar战胜狼队
-12.572011,-2.892757,2,全浙江都在跳刘畊宏健身操
-0.3461488,-6.8418303,15,妻子举报丈夫勾结国企高管骗国家资金
8.309225,-12.026461,8,封控区孕妇疑先兆流产朝阳民警十分钟送医
-1.8066372,-0.5122117,17,西安摘星
3.086741,2.9759905,12,宋亚轩说今晚三个少年用冷笑话幽你一默
-0.14902674,-6.159539,15,广州疫情
9.83074,17.012629,13,在人民日报直播间跳操是啥体验
7.1603703,-0.17031734,16,天下归元
12.52493,-4.264844,10,KPL
3.0621681,2.9178681,12,三个少年
-4.073341,8.143014,9,让男朋友叫姐姐是什么体验
-6.685425,1.9360453,6,蒜香黄油虾有多好吃
2.8384168,8.604833,7,华为手环7
8.397055,-11.421613,8,西安全域均为低风险地区
3.0861778,2.9736905,12,俄罗斯宣布驱逐8名日本外交官
-0.170002,-12.920073,19,爱原来是要见面才能维持
7.344858,-0.18334967,16,被人真心的喜欢是什么体验
-0.049978245,-12.475569,19,珀莱雅
0.062316976,-12.921589,19,美少女战士剧场版特报
10.003222,17.32566,13,同济大学回应学生盒饭吃出虫卵异物
-16.014685,12.059806,3,演唱会大合唱名场面
7.7458105,-11.641409,8,BIGBANG新歌6个一位
7.7059417,-11.051136,8,酷云
-0.47087297,-6.1122704,15,北京疫情
-4.9431934,9.073022,9,华为matexs2价格
2.8540888,8.814228,7,臭豆腐螺蛳粉火锅有多绝
7.017874,-0.16017522,16,印花税
15.662342,4.459653,1,庄文杰被电击抽氧
-0.14902683,-6.159539,15,广州疫情
-1.3600879,4.054504,14,智能手表颜值哪家强
2.8389664,8.608145,7,减脂也能吃的冰淇淋
-1.3111099,3.9778647,14,重生之门转场
5.567627,-5.164513,11,官方通报幼儿园被曝用过期奶发臭肉
-5.502221,-3.7991602,5,EDG冠军幕后故事预告片
5.5684743,-5.1658993,11,家长怒斥幼儿园给孩子吃过期食品遭怼
-5.501066,-3.79857,5,德宏州全面实现动态清零
7.7691917,5.2078934,18,主人掉水里狗狗的反应
2.8557627,8.830979,7,女子回家发现妈妈用桑葚染发
-7.3068094,-10.397028,4,新疆民警暴雨后在泥里拔羊
-7.427195,-10.476798,4,美方要求台当局花80亿美元买波音飞机
-4.555972,8.828488,9,华为发布会
9.830432,17.015713,13,余承东称中国新标准必走向世界
2.8530018,8.803164,7,谭卓拍戏断肋骨
3.0873904,2.9779472,12,华为手机支持3D精准室内定位
15.799203,4.7081623,1,坦然夏侯惇好肉
-7.267857,-10.264443,4,苏翊鸣的开挂人生
10.120014,16.69302,13,思政课的本质是讲道理
-16.469858,12.426648,3,北京流动医疗车开进管控区
7.7902727,-11.784926,8,重生之门大结局拍了好几个版本
5.528412,-5.110802,11,eStar对战狼队
7.0178733,-0.16017517,16,印花税
-1.3613067,4.0583076,14,华为手表支持动脉硬化风险筛查
-12.822347,-3.40392,2,总在毕业季怀念起学生时代
12.661305,-4.280203,10,暗恋期穿搭有多甜
-5.0448074,9.338506,9,中巴有决心有能力斩断恐怖分子的黑手
-4.521305,9.510023,9,华为折叠屏首创自适应UI引擎
9.970657,16.599192,13,这舞跳到了我的心巴上
-12.944875,-2.9935758,2,微博全量开放IP属地功能
-12.944875,-2.9935758,2,知名经纪人拉伊奥拉因病去世
