position,count,lng,lat
白杨路1155弄,2,121.56579802426458,31.197739179406092
板泉路2101弄,4,121.53960469322134,31.168815850763366
板泉路50号,5,121.50119826995608,31.163464745166774
北艾路1500弄,1,121.56815338131175,31.18709356297556
北艾路155弄,7,121.5498820268999,31.192539931368604
北艾路1660弄,3,121.53028818711626,31.187040813780268
北蔡镇北蔡村丁家宅,4,121.56985791601693,31.192184222632797
北蔡镇联勤村冯桥队冯家宅,5,121.55744791522713,31.171212397581485
北蔡镇联勤村李家队李家宅,5,121.55718596934042,31.173231011079945
北蔡镇联勤村麦家宅,3,121.55391344236757,31.16926349405447
北蔡镇卫行村顾家队张家宅,4,121.58495924011461,31.172225069869427
北蔡镇卫行村张浜队南顾家宅,2,121.58814382297803,31.171721593130023
北蔡镇卫行村张浜队杨家宅,3,121.58720141066752,31.166665202015878
北蔡镇卫行村朱家队朱家宅,4,121.58720141066752,31.166665202015878
北蔡镇五星村陈家队陈家宅,9,121.57272081567723,31.186502430471407
北蔡镇五星村陈家队奚家宅,3,121.57857947438275,31.194413133383005
北蔡镇五星村家务队顾家宅,3,121.57836549801027,31.179988450201478
北蔡镇五星村徐家队奚家宅,1,121.56739566061408,31.191014451882285
北蔡镇杨桥村郑家队郑家宅,1,121.57396748406397,31.203175585619988
北蔡镇一六村金桥队南赵家宅,3,121.60272673496593,31.173188295681612
北蔡镇一六村赵家队南赵家宅,5,121.60272673496593,31.173188295681612
北蔡镇中界村陈家队陈家宅,6,121.57857947438275,31.194413133383005
北蔡镇中界村复兴队陈家宅,3,121.57857947438275,31.194413133383005
北蔡镇中界村黄家队黄家宅,8,121.57417373500905,31.19544617406339
北蔡镇中界村陆家队陆家宅,9,121.50741975425709,31.19056320545643
北蔡镇中界村沈家队沈家宅,3,121.57417373500905,31.19544617406339
北蔡镇中界村沈家队姚家宅,2,121.57417373500905,31.19544617406339
北蔡镇中界村庄家队蔡家宅,8,121.57857947438275,31.194413133383005
北新园路460弄,5,121.6349222886118,31.326233358816335
北中路280弄,3,121.48053886017651,31.235929042252014
北中路328弄,1,121.56483036956924,31.189662096216804
博华路1018弄,5,121.55750199321884,31.176850857976813
博华路930弄,4,121.55674921320147,31.18032002999115
博华路980弄,2,121.55642681135393,31.17727104282873
博华路999弄,6,121.55711392523853,31.17680629046571
博山东路173弄,2,121.57187560002288,31.258660746087244
博兴路462弄,2,121.58940908628885,31.27201836204534
博兴路799弄,4,121.59601279958434,31.272410341804015
博兴路916弄,8,121.59799500052266,31.270420178729555
博兴路986弄,11,121.59726297136258,31.27067103482398
曹路镇东海村范家宅,2,121.67786990104503,31.30705492876369
曹路镇顾东村苍龙桥,2,121.66803731842445,31.305629893530618
曹路镇顾东村船板桥,4,121.66873884023111,31.3023676618057
曹路镇顾东村花厅,3,121.6681980252802,31.301248053430943
曹路镇顾东村水洞港,1,121.66964303952355,31.29976692689286
曹路镇顾东村田度宅,4,121.66581095804852,31.303842301640657
曹路镇顾东村新屋宅,4,121.66573451224963,31.301817865497682
曹路镇光明村沙桥宅,9,121.65818551206597,31.29296768284297
曹路镇联合村路北宅,6,121.69192757380122,31.275051532610338
曹路镇联合村路南宅,6,121.34867488758638,31.408630188595996
曹路镇联合村西浜宅,1,121.68165491131131,31.303733155222663
曹路镇联合村西柴场,7,121.6774631483101,31.303329042391074
曹路镇民建村北邵家宅,2,121.65451647304103,31.28037867132429
曹路镇前锋村杨张村宅,2,121.7016981733416,31.27716960102064
曹路镇日新村北万家宅,2,121.67504212513016,31.269511195913047
曹路镇日新村南房宅,2,121.67561021353467,31.271915582828562
曹路镇日新村杨薛家宅,2,121.67495543864845,31.26547221132191
曹路镇五四村沈家宅,5,121.6580400764039,31.26039873322475
曹路镇五四村沈孙家宅,3,121.6580400764039,31.26039873322475
曹路镇星火村,1,121.70831760698351,31.261823069883153
曹路镇迅建村蔡家宅,2,121.69714879491686,31.289202814595352
曹路镇迅建村撑圩村,2,121.69948528754833,31.28675034579566
曹路镇永和村陆万村,1,121.70305389601725,31.26979731811335
曹路镇永乐村曹家油车,2,121.64748831039206,31.28342653789337
曹路镇永利村冯家宅,2,121.70205902266495,31.270195403071813
长岛路1201弄,4,121.59672973721186,31.2693476089323
长岛路1398弄,1,121.60597842125094,31.269798784217294
长岛路259弄,1,121.58386734976725,31.272500311729118
长岛路625弄,3,121.59057454785749,31.266999409719872
长岛路85弄,1,121.58523618770334,31.275306157049545
长清路177弄,3,121.49682370178361,31.171479895527003
长清路2326号,1,121.50662071150597,31.141311470285086
长清路693弄,10,121.49944567590612,31.163215532913924
长清路75弄,1,121.49535317566377,31.177748614612092
长清路773弄,10,121.49801207014275,31.16197386509983
昌里东路650弄,6,121.52313048881274,31.184501789224896
昌里东路675弄,3,121.52403265703643,31.18665365076921
昌里东路71弄,3,121.51070692360975,31.18266438072873
昌里东路80弄,4,121.51274787372843,31.180374404948385
昌里路340弄,8,121.50096839357609,31.178239082858738
昌邑路555弄,2,121.52889716103405,31.24795560403731
昌邑路55弄,5,121.5203708942861,31.24636488182715
陈春东路99弄,3,121.56589701753178,31.181856496573577
陈春路620弄,10,121.5524308789539,31.179314705497738
陈邵路103号工地生活区,2,121.63919118651121,31.293293005844543
成山路143号,1,121.49798512097745,31.176820579877997
成山路1488弄,6,121.55174409174265,31.185842410372807
成山路1728弄,8,121.53553420146397,31.181824984316307
成山路2222弄,1,121.48053886017651,31.235929042252014
成山路248弄,2,121.50563401273381,31.174695836220423
成山路24弄,11,121.48053886017651,31.235929042252014
成山路475弄,1,121.51349724018485,31.178313077688014
成山路608弄,3,121.51633813136016,31.174838115527916
城丰路245弄,2,121.6933846253384,31.19550818548739
城丰路70弄,1,121.69583511293908,31.197620178960314
城南路329弄,1,121.70856535964317,31.197964360887266
城南路627弄,3,121.70162621907025,31.19559058416537
川北公路3056号,2,121.62022797206407,31.211787891784848
川沙路1666弄,6,121.68756621071974,31.26088568177487
川沙路2058号,1,121.69052352228913,31.25079614517874
川沙路389弄,3,121.67545489651201,31.28529236580147
川沙路5122弄,2,121.70266385176483,31.196532410579437
川沙新镇陈行村张家宅,2,121.72543805237599,31.172091669652595
川沙新镇城南村朱家宅,1,121.70598264147144,31.19406291479385
川沙新镇和平村杨家宅,1,121.74440496474422,31.209984837533348
川沙新镇黄楼村南华家宅,2,121.68574893867304,31.165357454311206
川沙新镇会龙村新兴,3,121.73220956914075,31.099081417842648
川沙新镇会龙村朱店,1,121.71574416812616,31.09745624118737
川沙新镇栏杆村周家宅,1,121.67290191225264,31.179777437248575
川沙新镇鹿溪村砖桥,3,121.71412671785203,31.13130305278618
川沙新镇民利村周庄家宅,1,121.7385878975838,31.183831629735323
川沙新镇新春村黄家宅,1,121.71050749615576,31.09915833532064
川沙新镇药师村,7,121.68830201276296,31.209451836559015
川沙新镇长丰村陆家宅,2,121.66622561587194,31.197467509120983
川周公路2928弄,6,121.48053886017651,31.235929042252014
川周公路3010弄,7,121.61847124580875,31.149506448835783
川周路8828弄,1,121.71626186159158,31.193206090036565
创新西路199弄,4,121.66081045059668,31.207582255485885
创新西路333弄,2,121.65899551414432,31.20582560439401
创新西路75弄,2,121.66351686543715,31.209745400559473
创新中路199弄,3,121.66640400856656,31.211865677444827
创新中路593弄,4,121.67626184435161,31.216183810575007
达秀路151号,3,121.66013375705602,31.243292573416156
德平路100弄,8,121.56934013272097,31.2536234799769
德平路1066弄,5,121.57397278406648,31.24683569519886
德平路1189弄,6,121.57810534873458,31.246201563061135
德平路80弄,1,121.56720980120407,31.256605695307506
德州路150弄,3,121.50642020971614,31.174371420054
德州路295弄,1,121.49738298679412,31.17397910671918
德州路420弄,2,121.49035248855083,31.172388749436156
德州路421弄,3,121.48947798813685,31.173812880924558
东波路192弄,1,121.5853275453737,31.28957713270723
东波路49弄,6,121.58337804275595,31.290723839031642
东波路585弄,2,121.59205441635461,31.290905980740572
东方路2993弄,1,121.52522902031461,31.200113673897423
东建新村,8,121.52686142108733,31.222713416923376
东靖路人民塘路交界口工地生活区,2,121.53150628938778,30.837540948048442
东陆路1182弄,6,121.60235600428196,31.275368269875603
东陆路1268弄,10,121.60156055475287,31.272878863483545
东陆路1350弄,6,121.60665358767224,31.274145758410643
东三里桥路160弄,6,121.51674955528372,31.205170500228824
东书房路390弄,11,121.53955510675719,31.16979340207411
东绣路1086弄,3,121.5429417185298,31.20526918311545
东绣路1389弄,3,121.538790289446,31.20467631206504
渡桥路288弄,4,121.55418859334527,31.121556346800265
峨山路605弄,3,121.5284466608208,31.22089304783959
峨山路681弄,2,121.52639034967791,31.219607056449476
繁荣东路150弄,5,121.59457829551546,31.11306119887144
方竹路222弄,1,121.91359649568211,30.89871410251902
方竹路333弄,1,121.91131515302025,30.900777350052362
芳草路153弄,3,121.5599919164314,31.199247251777845
芳草路253弄,1,121.5624910921907,31.20015259320563
芳草路352弄,7,121.56433944560803,31.199816759198363
芳华路268弄,2,121.56231331753028,31.201114837070868
芳华路411弄,10,121.56557030381781,31.202399460853744
芳华路455弄,7,121.56615060917726,31.20261752700328
芳华路478弄,5,121.5667081874073,31.202311740049833
芳华路630弄,5,121.55655904192501,31.200205103357757
芳华路713弄,4,121.57037246541304,31.20356677292133
芳华路916弄,5,121.57459800470143,31.202853893456744
芳华路933弄,3,121.57360313134913,31.203522295331805
芳芯路210弄,3,121.56219528018626,31.197753542850066
芳芯路251弄,3,121.5630040246369,31.19846669279656
芙蓉路42弄,1,121.67471056056642,31.170931612749175
高东镇灯塔村,1,121.65892760224777,31.31964088189421
高东镇竞赛村沈家宅,4,121.65224349060914,31.30482168254854
高东镇沙港村西沙港(西）,1,121.63069871091892,31.344156414398093
高东镇珊黄村苍头宅,11,121.6465324234989,31.336547689860097
高东镇先锋村卢家宅,12,121.64059776814723,31.309012455880733
高科西路2111弄,3,121.5423303317997,31.194181224726066
高科西路2960弄,1,121.56655619411501,31.19571190392392
高科西路3000弄,3,121.56820665082849,31.195798240868395
高科西路3030弄,3,121.56949266499656,31.195953693502513
高桥镇北新村中新村,1,121.54851678218584,31.357736998023213
