0,0
1,1
2,1
3,3
4,5
5,2
6,14
7,3
8,16
9,0
10,28
11,3
12,45
13,4
14,51
15,3
16,62
17,4
18,76
19,11
20,64
21,5
22,78
23,1
24,64
25,41
26,128
27,9
28,130
29,5
30,197
31,8
32,150
33,57
34,203
35,8
36,366
37,17
38,492
39,24
40,734
41,31
42,865
43,4
44,977
45,4
46,979
47,29
48,1580
49,38
50,2231
51,45
52,2631
53,50
54,3450
55,96
56,4381
57,326
58,5656
59,355
60,5298
61,358
62,4144
63,260
64,6051
65,438
66,7788
67,425
68,8581
69,268
70,13086
71,311
72,16766
73,322
74,19660
75,824
76,20398
77,1015
78,22609
79,1006
80,23937
81,914
82,25173
83,994
84,22348
85,1189
86,25141
87,2573
88,25146
89,3200
90,19872
91,3590
92,19923
93,3238
94,21582
95,2417
96,19831
97,3084
98,17332
99,2494
100,16407
101,2634
102,15861
103,1931
104,15698
105,2736
106,20634
107,1401
108,19657
109,2472
110,16983
111,1661
112,15319
113,1606
114,11956
115,1292
116,9330
117,5487
118,9545
119,1249
120,8932
121,788
122,7084
123,727
124,6606
125,274
126,5395
127,260
128,4722
129,261
130,4390
131,245
132,4024
133,253
134,3961
135,215
136,3760
137,322
138,3625
139,234
140,2780
141,228
142,1259
143,144
144,1305
145,227
146,1869
147,194
148,1487
