position,zone,lng,lat
浦东新区八灶村康家宅,48_68,121.72279227315744,31.166067606295638
浦东新区白莲泾路国展路交界口工地生活区,50_49,121.49352790869804,31.186531315266237
浦东新区百曲村,43_54,121.5546630711292,31.117902747608948
浦东新区板泉路1201弄,49_51,121.51162382404378,31.169377277763573
浦东新区板泉路1555弄,49_51,121.51788258802345,31.168447383500492
浦东新区板泉路2000弄,49_53,121.5396370322197,31.173126810191622
浦东新区板泉路2101弄,49_53,121.53960469322134,31.168815850763366
浦东新区板泉路25号,48_50,121.50119826995608,31.163464745166774
浦东新区北艾路1128弄,51_53,121.5416308212991,31.18935757988266
浦东新区北艾路1200弄,51_53,121.53888676745775,31.188481867872763
浦东新区北艾路1643弄,50_52,121.53206000490414,31.184833893684832
浦东新区北艾路1765弄,50_52,121.53177982341558,31.186474858613483
浦东新区北艾路73弄,51_54,121.54971853529707,31.192444941977296
浦东新区北蔡村丁家宅,51_55,121.56985791601693,31.192184222632797
浦东新区北蔡大街31弄,51_55,121.56054356584508,31.19367809757782
浦东新区北蔡镇丁家宅,48_55,121.55915748044318,31.1642956538959
浦东新区北蔡镇陆家队陆家宅,51_51,121.50741975425709,31.19056320545643
浦东新区北蔡镇朱家宅,48_55,121.56524691383422,31.161426376534685
浦东新区北街415弄,41_57,121.59117281932714,31.092495579694763
浦东新区北新村,68_53,121.54227912838564,31.35893158691889
浦东新区北园路258弄,53_52,121.53139310289353,31.20978856257452
浦东新区北张家浜路188弄,54_52,121.5317007725307,31.22227722330735
浦东新区北张家浜路58号,54_52,121.52762345365146,31.222173076955738
浦东新区北中路278弄,51_55,121.56280280420268,31.189024178541377
浦东新区北中路280弄,51_55,121.56393853185894,31.18991772544677
浦东新区窑港村,42_64,121.67260286634837,31.108271567533365
浦东新区碧云路333弄,56_57,121.58332800713904,31.24398785556432
浦东新区博华路930弄,50_54,121.55674921320147,31.18032002999115
浦东新区博华路999弄,49_54,121.55711392523853,31.17680629046571
浦东新区博华路杨莲路交界口工地生活区,48_54,121.55302537754041,31.16809722238912
浦东新区博山东路173弄,58_56,121.57241332570116,31.257892721582024
浦东新区博山东路20弄,57_55,121.5660388599718,31.253391023400393
浦东新区博山东路41弄,57_55,121.56481087633966,31.25377945400249
浦东新区博山东路440弄,58_56,121.57526571518699,31.25858318762898
浦东新区博山东路459弄,58_56,121.5750238913437,31.26001480607352
浦东新区博山东路811弄,59_57,121.58346877161246,31.26450183203205
浦东新区博山路12弄,57_55,121.56302208057765,31.251852180243006
浦东新区博山路78弄,57_55,121.56207131402589,31.25146659723759
