position,zone,lng,lat
北蔡镇五星村陈家队奚家宅,50_56,121.57857947438275,31.194413133383005
北蔡镇御桥村印家队东印家圈,49_55,121.56463768303735,31.17407504173234
北蔡镇中界村陆家队陆家宅,51_56,121.50741975425709,31.19056320545643
长清路693弄,60_44,121.49944567590612,31.163215532913924
高桥镇西浜头,61_59,121.61563583429707,31.292504199206448
济阳路65弄,50_45,121.4882129943177,31.172684669626605
金湘路201弄,60_50,121.61934332079784,31.261493090585798
康桥路90弄,50_47,121.5866551510869,31.153269986843362
浦东大道2639弄,59_56,121.57382941450709,31.27009640284229
乳山路161弄,56_48,121.57710400758262,31.267785416001274
三林镇胡巷村金家宅,47_52,121.52500489308987,31.158715770519464
三林镇天花庵村北陈队大陈家宅,44_52,121.53193954213525,31.12853590017715
三林镇西林村圈门队西林街,46_50,121.50505047347453,31.142465402882358
三林镇新任村,48_50,121.50281306394082,31.161867720395563
世博家园大道站路94弄,39_51,121.5456103147083,31.165459346349106
长乐路79号,55_48,121.47500529823505,31.228070094754575
大夫坊95弄,56_48,121.48053886017651,31.235929042252014
淡水路216号,54_48,121.47979901575849,31.223348094304406
淡水路228号,54_48,121.47963723093615,31.223154086214915
淮海中路925弄,54_47,121.46552512086605,31.22296416943057
江滨路258号,52_48,121.47813957598991,31.197386424886638
面筋弄29号,55_50,121.5047955343708,31.226327415138474
南昌路246号,54_48,121.47119450660063,31.223861329841924
南京西路461号,56_48,121.47476931337758,31.236773974700437
顺昌路487号,54_49,121.48604996448022,31.2190202209843
自忠路428号,54_48,121.47922293243495,31.224060663342705
康定路864号,56_46,121.44709566468444,31.23747895406478
临山路186号,58_48,121.48023334647256,31.26068087044346
普善路铁路新村23号,58_47,121.45965765876652,31.262486266097362
陕西北路900号,56_46,121.45444200714505,31.243143914506323
万航渡路463号,55_45,121.44220834372686,31.231498155158633
延平路230弄,57_43,121.40932739765348,31.252098764217596
愚园路488弄,56_46,121.44699622226449,31.237786478710234
止园路320弄,60_48,121.46965534993983,31.276394398647767
中华新路487号,58_48,121.47132314394966,31.259930689160406
中山北路1038号,59_47,121.45771713920387,31.264525368189744
淮海西路343号,52_44,121.431291057203,31.203074738411665
凯旋路2120弄,52_44,121.43106962489477,31.19744356997338
乌鲁木齐南路75弄,53_46,121.45530060755148,31.21185398458352
交通路3193弄,59_43,121.41826607646107,31.268194158260464
东体育会路100号,60_49,121.48857087923288,31.280409764633035
玉田路418号,61_50,121.49541381128569,31.285124486021
乍浦路252弄,58_49,121.49399457841047,31.254792468479867
江浦路1424弄,60_52,121.52652581414881,31.27947487767225
控江路764弄,61_53,121.54423932083897,31.290074883980274
四平路2100弄,62_51,121.51909826487011,31.299191239731783
爱辉路305号,66_47,121.46009288778612,31.340984466024743
联长路140号,67_48,121.47005680267223,31.34247735155644
松兰路1000号,71_46,121.45081464949574,31.388045951895045
淞兴西路187号,70_50,121.49677788820259,31.374582784958175
真陈路1188号,64_39,121.35877992626813,31.320021864625435
九新公路33弄,56_48,121.48053886017651,31.235929042252014
胜利路738号,49_19,121.11084967161689,31.176678226338424
大通路388号,88_60,121.62455331309461,31.551527319680428
层海路集中疏散点,82_78,121.85609146846087,31.487946735914306
