position,zone,lng,lat
宝山区大华路301弄,60_44,121.42302952108884,31.27629316740608
宝山区祁连二村C街坊,64_41,121.38463163172592,31.321078736506262
宝山区大华路455弄,60_44,121.42163795602332,31.276912898409368
宝山区华灵路1225弄,61_44,121.425511718874,31.287423008644353
宝山区虎林路135弄,67_47,121.46483001206244,31.342649908521366
宝山区新沪路285弄,60_44,121.4243609895157,31.275415876821157
宝山区菊联路89弄,68_40,121.3742624013937,31.35394205683223
宝山区新沪路475弄,60_44,121.4251243695381,31.277143907644064
宝山区菊泉街400弄,69_40,121.37968232768814,31.364529437790303
宝山区新沪路837弄,60_44,121.42369525530228,31.277994794445867
宝山区月罗路1201弄,75_41,121.38842733182777,31.423123724036717
宝山区真华路1030弄,60_43,121.41792310341735,31.280742994753364
宝山区新沪路1060弄,60_44,121.42566299352188,31.279787896491147
青浦区北青公路3488号,53_31,121.25821219900122,31.207713365969045
青浦区乐爱路38弄,50_29,121.24091936878138,31.18221618352431
青浦区沪青平公路2095号,48_32,121.26934804325566,31.16419182933247
崇明区江南大道,68_71,121.76544086783761,31.358963780322465
杨浦区政悦路588弄,66_52,121.53190217262603,31.340517905475586
杨浦区包头路179弄,64_53,121.54479429398303,31.316982828490584
杨浦区控江路1209号,61_53,121.53310509353445,31.283598201173195
杨浦区三门路333号,64_50,121.50377919151681,31.31711717904011
杨浦区睿达路66弄,66_51,121.50826173601159,31.333131966193594
杨浦区延吉五村,62_53,121.54406612753664,31.296850579342138
杨浦区凤城三村,61_52,121.5282979912589,31.28782287004112
杨浦区顺平路59弄,61_55,121.56210535980472,31.28945277162139
闵行区虹梅南路990号,45_44,121.43009586172197,31.130765009824135
闵行区纪东村,57_33,121.28413972144405,31.2518808133451
闵行区普乐路665弄,44_44,121.42746194013617,31.12411971896687
闵行区银都路2688弄,42_43,121.4131855299883,31.103773268877724
闵行区许浦村,55_38,121.3441344023862,31.230791664007622
闵行区浦申路1288弄,41_50,121.50628546388964,31.100491819286777
闵行区联航路2015弄,39_51,121.51187067839793,31.077547152816013
闵行区联航路2165弄,39_51,121.51009893121686,31.077578217184772
闵行区富岩路328弄,35_40,121.37755576905438,31.038479363002843
闵行区罗秀路1377号,45_44,121.42403499444615,31.13456816838341
闵行区金阳路116弄,36_44,121.4295399902724,31.046002183833977
闵行区颛兴路666弄,38_42,121.39609931003575,31.07168435979389
闵行区都会路2799弄,40_43,121.41716196915876,31.085659862406207
闵行区光华路1号,39_42,121.40471657513186,31.078136497153675
闵行区向阳村,39_44,121.42601315300966,31.074514004670082
闵行区都庄路2727号,40_44,121.42554244092244,31.083879743642058
闵行区沪光路425弄,40_44,121.4245628387638,31.086310157123503
闵行区东华美路151弄,55_37,121.3374417568452,31.22647563757883
闵行区莘西南路400弄,42_41,121.38368221263244,31.104686102188047
闵行区盐铁塘路176弄,35_51,121.51800484740336,31.041461150067278
闵行区报春路817弄,44_41,121.38278130203646,31.125740802458836
闵行区江玮路100弄,38_53,121.53708602423247,31.063109848004515
闵行区北江燕路228弄,40_51,121.50766291373695,31.085530061001478
闵行区浦申路200弄,43_50,121.50381224915957,31.111221773089262
闵行区龙吴路5511弄,36_48,121.4734334432537,31.051436703315765
闵行区剑川路150弄,36_48,121.47059255207839,31.04974024307159
闵行区疏影路789弄,44_40,121.37199444947267,31.12518127832757
闵行区广南路666弄,35_47,121.46654027325863,31.04205918929499
闵行区莘西南路155弄,41_41,121.38440337229584,31.1011334309214
闵行区浦驰路188弄,39_51,121.50941156706436,31.080251750553057
金山区海盛路515弄,6_38,121.35173945683367,30.762059133069194
金山区星火村,8_32,121.27031461998439,30.777509973791037
金山区下坊村,17_19,121.11272174029968,30.864228264694493
普陀区东新路99弄,57_45,121.43544356425342,31.246783365567435
普陀区平利路21弄,60_45,121.43613678661546,31.27602920951366
普陀区白玉新村,56_44,121.42169948995075,31.239023591360276
普陀区志丹路500弄,60_45,121.43780763486403,31.27741033141266
普陀区万泉路122弄,60_42,121.40613760461811,31.273984108543434
普陀区宜川四村,59_46,121.44973713203653,31.27119126392538
普陀区枣阳路465弄,56_43,121.40836118024694,31.235774813853716
普陀区古浪路55弄,61_42,121.40609700120905,31.285696325286168
普陀区南大街东江海小区,57_43,121.40754030867193,31.251209824005773
普陀区真北路3725弄,61_43,121.4095403858899,31.290661273542632
普陀区甘泉路5弄,58_42,121.40356934916508,31.254973368279597
普陀区曹杨二村,57_43,121.41174500727247,31.25010183980936
普陀区桂巷新村,56_43,121.40635634200979,31.245034242365755
普陀区白丽路701弄,62_38,121.35188067045985,31.29462017459372
普陀区中山北路2655弄,57_45,121.43536361506303,31.25346773722162
普陀区中山北路2451弄,57_44,121.43052076022819,31.251158114252497
普陀区中华新路1140弄,58_46,121.4566300098757,31.262299824630485
松江区东港村,30_26,121.19481105373468,30.987121415147264
松江区银都西路85号,40_40,121.37600511408304,31.088377447499067
松江区松东路193弄,33_31,121.25942203686205,31.019826821327474
松江区古楼公路656弄,43_31,121.26407148652059,31.111944160495963
松江区外婆泾路299弄,44_31,121.26508252937207,31.121247822376997
松江区场西路155弄,41_38,121.34951234964248,31.098445959542577
松江区长溇村,28_34,121.29298201207042,30.970852091222323
黄浦区中山南一路247弄,52_49,121.49296071859904,31.20630496106852
黄浦区鲁班路721弄,52_49,121.48468633671608,31.202508107897504
黄浦区鲁班路388弄,53_48,121.481238999491,31.207353004735936
黄浦区顺昌路612弄27号,54_49,121.4855653286576,31.220331389007576
黄浦区徐家汇路515弄,53_49,121.48274051715093,31.21471986553092
黄浦区吉安路157号,54_49,121.48724003961985,31.225114838681478
