position,zone,lng,lat
浦东新区光明村,62_63,121.66490052541417,31.29664029270497
浦东新区通济路328弄,37_70,121.7525324736763,31.05774885424886
浦东新区工农南路201弄,36_71,121.76417091986356,31.0517043876283
浦东新区佳乐路225弄,60_59,121.62000411433098,31.274454319838746
浦东新区松林路333弄,55_53,121.54064564964631,31.23286465076705
浦东新区五莲路1047弄,60_58,121.60139041568928,31.277745809783077
浦东新区微山二村,53_52,121.51989685846848,31.214418673428547
浦东新区环龙路263弄,53_53,121.53236327284431,31.208913890879952
浦东新区张杨路1050弄,56_53,121.53598299489676,31.236019896399668
浦东新区羽山路1445弄,57_55,121.56713227743855,31.24677788561909
浦东新区北洋泾路601号,57_54,121.55725531852579,31.24957562761426
浦东新区陈春东路99弄,50_55,121.56589701753178,31.181856496573577
浦东新区下南路370弄,49_54,121.54711838999846,31.176843211212987
浦东新区沪南路2518弄,47_56,121.57206837638533,31.156805544660738
浦东新区浦电路328号,55_53,121.53347627337116,31.226282793962028
浦东新区御衡路68弄,48_57,121.58833740781544,31.159592610343985
浦东新区浦三路741弄,51_52,121.52688172279186,31.19210877143124
浦东新区下南路551弄,50_54,121.54679904238965,31.179016875274282
浦东新区浦东南路1700弄,54_52,121.5250607676926,31.22378497774176
浦东新区东明路560号,50_51,121.51612945499019,31.185246551145298
浦东新区浦电路29弄,54_52,121.52179830174146,31.22198277216662
浦东新区成山路300弄,49_51,121.50856715988499,31.17735353478072
浦东新区东建新村,54_52,121.52686142108733,31.222713416923376
浦东新区齐河路438弄,50_51,121.51415462015706,31.185756828970195
浦东新区五莲路108弄,60_57,121.58877362497108,31.277157873113886
浦东新区昌里东路80弄,50_51,121.51274787372843,31.180374404948385
浦东新区峨山路500弄,54_52,121.53004564462856,31.220273485843567
浦东新区下南路339弄,49_54,121.55064127471694,31.17679107417024
浦东新区上南路3300号,48_50,121.50504580228588,31.164360930441298
浦东新区下南路320弄,49_54,121.547891741212,31.175548813657176
浦东新区云台路183弄,50_51,121.51061853034757,31.18339896227592
浦东新区下南路500弄,50_53,121.5437208188986,31.177967587760506
浦东新区德州路230弄,49_50,121.49751620550124,31.171941661770408
浦东新区杨莲路311弄,48_54,121.55302537754041,31.16809722238912
浦东新区新浦路673弄,52_55,121.56942439152306,31.203423628202646
浦东新区崂山路644弄,55_53,121.53244726440948,31.227913305868743
浦东新区浦电路53弄,54_52,121.52290115141605,31.22214582440724
浦东新区昌里东路71弄,50_51,121.51070692360975,31.18266438072873
浦东新区下南路276弄,49_54,121.54798453617117,31.175387534084695
浦东新区博华路999弄,49_54,121.55711392523853,31.17680629046571
浦东新区东明路355弄,51_51,121.51669511796983,31.18945566158956
浦东新区下南路526弄,50_54,121.54563564692369,31.1784433022666
浦东新区蓝村路471弄,54_53,121.5336015869898,31.217902204702717
浦东新区德州路255弄,49_50,121.49763226657313,31.176228764666757
浦东新区下南路50弄,49_54,121.5527146536645,31.17140203307928
浦东新区洪山路237弄,50_50,121.50688247773158,31.178985516539065
浦东新区板泉路2101弄,49_53,121.53960469322134,31.168815850763366
浦东新区上南路929弄,50_51,121.50767882556616,31.18609371739358
浦东新区昌里路80弄,49_50,121.50033351024607,31.169613156321486
浦东新区下南路501弄,50_54,121.54658344906726,31.178403987748
浦东新区三旋路506弄,44_51,121.50955529594596,31.125032277416977
浦东新区上南路6500弄,44_54,121.55645501814695,31.124587823608294
浦东新区云莲路398弄,50_51,121.51281596528608,31.183931879782783
浦东新区博兴路616弄,59_57,121.59191221459238,31.27066895143255
浦东新区东明路660弄,50_51,121.51616682449941,31.183177221359824
浦东新区莱阳路350弄,60_57,121.58832150780792,31.280456057381212
浦东新区张杨路1734弄,56_54,121.55334777938793,31.24263973829227
浦东新区东靖路669弄,62_57,121.59188544508821,31.298054434219246
浦东新区德平路100弄,57_55,121.56868266291822,31.253939981179144
浦东新区周园路1800弄,41_58,121.6027341010711,31.099526610695357
浦东新区金高路988弄,61_59,121.61620527015982,31.292764484741046
浦东新区浦城路580弄,55_52,121.52108055563897,31.230158967011022
浦东新区卫民村,42_70,121.74780819516877,31.10401135310868
浦东新区高青路4567弄,49_55,121.5692836293044,31.1769905078571
浦东新区潍坊路168弄,55_53,121.53400923803024,31.231918712480383
浦东新区南码头路1120弄,51_52,121.52017057215737,31.191446543590878
浦东新区五星村陈家队陈家宅,51_56,121.57857947438275,31.194413133383005
浦东新区崂山路502号,56_52,121.52356526867958,31.242727884421647
浦东新区康沈路400弄,46_56,121.5773097195444,31.14633693089139
浦东新区南团公路858弄,34_71,121.76883132884932,31.029976482139237
浦东新区立新村,49_71,121.76391813669305,31.177471711327076
浦东新区鹿溪村,44_66,121.70279338741936,31.124679790400943
浦东新区懿行路971弄,45_51,121.51939497518005,31.131133547765522
浦东新区上南路2779号,49_50,121.5037289762388,31.173002834929044
浦东新区潍坊路606号,55_52,121.52801879790638,31.229204895697556
