"","x"
"1",2.20269009662345
"2",1.83258741140825
"3",1.31662918814328
"4",1.15008989262881
"5",1.07646594454163
"6",1.03980658099062
"7",0.782930789073018
"8",0.691301315511595
"9",0.573915042561336
"10",0.621683834457319
"11",0.650775707334269
"12",0.720238815982118
"13",0.801672225735304
"14",0.992200200319352
"15",1.0979913209544
"16",1.45045989205975
"17",1.48987660767809
"18",2.21497309242203
"19",2.58138935304995
"20",2.23196470401151
"21",1.63696917259301
"22",1.45951423291199
"23",1.35343699724463
"24",1.21830561087718
"25",0.921985175855951
"26",0.666358096486596
"27",0.592218566453334
"28",0.649789162190869
