"","x"
"1",2.49457622781233
"2",2.16382265273307
"3",1.78772498822816
"4",1.49733716961884
"5",1.35413503056085
"6",1.34959619798177
"7",1.2931534522815
"8",1.25091104691867
"9",1.16551010835932
"10",1.11812869666894
"11",1.08221054025377
"12",0.976959018773797
"13",0.815985064339892
"14",0.725716879889038
"15",0.724891286549293
"16",0.728785482438723
"17",0.76141949682956
"18",0.731913375946686
"19",0.728471496986188
"20",0.752672377467427
"21",0.78423971728462
"22",0.697365248852884
"23",0.59007369483918
"24",0.515021009049045
"25",0.491715367791043
"26",0.500026833981247
"27",0.496160260459253
"28",0.44314442417077
