"","x"
"1",2.44502172802189
"2",2.05035638456762
"3",1.76704904675721
"4",1.69714645845145
"5",1.75916578723026
"6",1.41235185689901
"7",1.19623619758557
"8",1.02960742399665
"9",1.12607105050351
"10",1.16984072917004
"11",1.2550215847493
"12",1.36729453692336
"13",1.49403783051852
"14",1.75033154310964
"15",1.62792569686636
"16",1.30310088231372
"17",1.27755022650619
"18",1.18572169712568
"19",1.07649724338986
"20",1.02804760917302
"21",0.924675682803614
"22",0.977850139600113
"23",1.05255902962563
"24",0.938757545213347
"25",0.886665761341052
"26",0.796854183345052
"27",0.754090022084128
"28",0.682769672057084
