"","x"
"1",5.45213438425128
"2",3.95658361703793
"3",2.69219232513019
"4",2.08648783459759
"5",2.10058786146378
"6",1.94823763500358
"7",1.64802989289391
"8",1.42353295340221
"9",1.24005710716003
"10",1.21061188024344
"11",1.20053875127819
"12",1.04558341048294
"13",0.961876749080405
"14",0.857351760107731
"15",0.8596752880957
"16",0.891960443811119
"17",0.927133234017475
"18",0.924812371775426
"19",0.902968708985545
"20",0.811783328675889
"21",0.867489804974305
"22",0.8290406327534
"23",0.734621188103969
"24",0.645432442904691
"25",0.591246642054124
"26",0.559233699300621
"27",0.60095732827865
"28",0.473709431993986
