"","x"
"1",1.66827819865814
"2",1.29278315712408
"3",1.03593934393872
"4",0.979106232544555
"5",0.838601820346696
"6",0.621679978867423
"7",0.581497388686558
"8",0.651453722038513
"9",0.62347678028857
"10",0.666305236066781
"11",0.640957742964809
"12",0.765343218075414
"13",0.727213550412015
"14",0.782674932857322
"15",0.581473338690909
"16",0.525864785922649
"17",0.545732347781309
"18",0.619634306683752
"19",0.515487297168608
"20",0.44743497535629
"21",0.36296767365178
"22",0.550015511143268
"23",0.573519010205509
"24",0.731979373291406
"25",0.811772313340544
"26",0.803942655636111
"27",0.827637317668511
"28",0.937676541116142
