"","x"
"1",2.93145326133256
"2",2.13260724634315
"3",1.79677489252339
"4",1.67294542902951
"5",1.59603927754928
"6",1.44053970999534
"7",1.34842021955804
"8",1.1050774576927
"9",1.1253774433254
"10",1.09977175384384
"11",1.16693590552485
"12",1.24391356913591
"13",1.33271518243335
"14",1.23787281886705
"15",1.25998282209102
"16",1.21383558170426
"17",1.1382159462184
"18",1.04518450265253
"19",0.903235450098016
"20",0.799423842637946
"21",0.872032980541448
"22",0.821813139840588
"23",0.804062670585384
"24",0.797654779694324
"25",0.7180743034095
"26",0.739117056436443
"27",0.738951913192079
"28",0.629617106486661
